Date,äîâø,îÑè„çÇâcã∆óòâvó¶,âcã∆óòâvê¨í∑ó¶,îÑè„çÇê¨í∑ó¶,ìäâ∫éëñ{óòâvó¶,à◊ë÷ÉåÅ[Ég
2019/1/4,1792,8.79,-8.02,1.69,4.28,110.91
2019/1/7,1817,8.78,-7.93,1.68,4.27,107.73
2019/1/8,1794,8.77,-7.85,1.67,4.26,108.49
2019/1/9,1804,8.76,-7.76,1.66,4.25,108.8
2019/1/10,1787,8.75,-7.68,1.65,4.24,108.76
2019/1/11,1775,8.74,-7.59,1.64,4.23,108.2
2019/1/15,1719,8.73,-7.51,1.63,4.22,108.47
2019/1/16,1765,8.72,-7.42,1.62,4.21,108.42
2019/1/17,1736,8.71,-7.34,1.61,4.2,108.49
2019/1/18,1768,8.7,-7.26,1.6,4.19,109
2019/1/21,1770,8.69,-7.17,1.59,4.18,109.36
2019/1/22,1772,8.68,-7.09,1.58,4.17,109.68
2019/1/23,1757,8.67,-7,1.57,4.16,109.69
2019/1/24,1746,8.66,-6.92,1.56,4.15,109.47
2019/1/25,1736,8.64,-6.83,1.54,4.14,109.6
2019/1/28,1719,8.63,-6.75,1.53,4.13,109.78
2019/1/29,1756,8.62,-6.66,1.52,4.12,109.32
2019/1/30,1731,8.61,-6.58,1.51,4.11,109.21
2019/1/31,1742,8.6,-6.49,1.5,4.1,109.43
2019/2/1,1566,8.59,-6.41,1.49,4.09,108.98
2019/2/4,1550,8.58,-6.33,1.48,4.08,108.91
2019/2/5,1554,8.57,-6.24,1.47,4.07,109.53
2019/2/6,1552,8.56,-6.16,1.46,4.06,110.03
2019/2/7,1531,8.55,-6.07,1.45,4.05,109.88
2019/2/8,1521,8.54,-5.99,1.44,4.04,109.95
2019/2/12,1542,8.53,-5.9,1.43,4.03,109.87
2019/2/13,1522,8.52,-5.82,1.42,4.02,110.51
2019/2/14,1524,8.51,-5.73,1.41,4.01,110.56
2019/2/15,1521,8.5,-5.65,1.4,4,110.99
2019/2/18,1540,8.49,-5.57,1.39,3.99,110.45
2019/2/19,1545,8.48,-5.48,1.38,3.98,110.54
2019/2/20,1549,8.47,-5.4,1.37,3.97,110.58
2019/2/21,1564,8.46,-5.31,1.36,3.96,110.76
2019/2/22,1564,8.45,-5.23,1.35,3.95,110.7
2019/2/25,1553,8.44,-5.14,1.34,3.94,110.78
2019/2/26,1551,8.43,-5.06,1.33,3.93,110.82
2019/2/27,1553,8.42,-4.97,1.32,3.91,111.04
2019/2/28,1560,8.41,-4.89,1.31,3.9,110.58
2019/3/1,1572,8.4,-4.81,1.3,3.89,110.91
2019/3/4,1569,8.39,-4.72,1.29,3.88,111.53
2019/3/5,1578,8.38,-4.64,1.28,3.87,112.01
2019/3/6,1574,8.37,-4.55,1.27,3.86,111.91
2019/3/7,1579,8.36,-4.47,1.26,3.85,111.82
2019/3/8,1558,8.34,-4.38,1.24,3.84,111.7
2019/3/11,1562,8.33,-4.3,1.23,3.83,111.58
2019/3/12,1580,8.32,-4.21,1.22,3.82,110.96
2019/3/13,1575,8.31,-4.13,1.21,3.81,111.47
2019/3/14,1585,8.3,-4.04,1.2,3.8,111.32
2019/3/15,1617,8.29,-3.96,1.19,3.79,111.3
2019/3/18,1627,8.28,-3.88,1.18,3.78,111.94
2019/3/19,1630,8.27,-3.79,1.17,3.77,111.58
2019/3/20,1630,8.26,-3.71,1.16,3.76,111.31
2019/3/22,1646,8.25,-3.62,1.15,3.75,111.66
2019/3/25,1627,8.24,-3.54,1.14,3.74,110.73
2019/3/26,1683,8.23,-3.45,1.13,3.73,109.93
2019/3/27,1687,8.22,-3.37,1.12,3.72,110.21
2019/3/28,1657,8.21,-3.28,1.11,3.71,110.53
2019/3/29,1653,8.2,-3.2,1.1,3.7,110.35
2019/4/1,1655,8.24,-2.67,1.05,3.7,111.01
2019/4/2,1644,8.27,-2.14,1.01,3.69,111.1
2019/4/3,1627,8.31,-1.61,0.96,3.69,111.44
2019/4/4,1618,8.35,-1.08,0.91,3.69,111.53
2019/4/5,1612,8.39,-0.56,0.86,3.69,111.52
2019/4/8,1612,8.42,-0.03,0.82,3.68,111.82
2019/4/9,1604,8.46,0.5,0.77,3.68,111.48
2019/4/10,1599,8.5,1.03,0.72,3.68,111.4
2019/4/11,1605,8.54,1.56,0.67,3.67,111.2
2019/4/12,1596,8.57,2.09,0.63,3.67,111.11
2019/4/15,1607,8.61,2.62,0.58,3.67,111.81
2019/4/16,1604,8.65,3.15,0.53,3.67,112.02
2019/4/17,1605,8.68,3.67,0.48,3.66,111.99
2019/4/18,1604,8.72,4.2,0.44,3.66,112.16
2019/4/19,1603,8.76,4.73,0.39,3.66,112
2019/4/22,1634,8.8,5.26,0.34,3.65,112.01
2019/4/23,1655,8.83,5.79,0.29,3.65,112.03
2019/4/24,1661,8.87,6.32,0.25,3.65,111.87
2019/4/25,1677,8.91,6.85,0.2,3.64,111.96
2019/4/26,1675,8.95,7.38,0.15,3.64,112.28
2019/5/7,1675,8.98,7.91,0.1,3.64,111.87
2019/5/8,1655,9.02,8.43,0.06,3.64,110.7
2019/5/9,1612,9.06,8.96,0.01,3.63,110.19
2019/5/10,1743,9.09,9.49,-0.04,3.63,109.99
2019/5/13,1797,9.13,10.02,-0.09,3.63,109.92
2019/5/14,1752,9.17,10.55,-0.13,3.62,109.74
