Date,äîâø,îÑè„çÇâcã∆óòâvó¶,âcã∆óòâvê¨í∑ó¶,îÑè„çÇê¨í∑ó¶,à◊ë÷ÉåÅ[Ég
2022/6/1,2995,11.88,5.06,13.27,128.22
2022/6/2,2940,11.91,5.02,13.42,128.89
2022/6/3,2954,11.95,4.97,13.57,130.04
2022/6/6,2960,11.98,4.93,13.71,129.84
2022/6/7,2932,12.01,4.88,13.86,130.84
2022/6/8,2981,12.05,4.83,14.01,132.25
2022/6/9,2980,12.08,4.79,14.16,132.88
2022/6/10,2927,12.12,4.74,14.31,134.47
2022/6/13,2937,12.15,4.7,14.46,134.22
2022/6/14,2981,12.19,4.65,14.61,135
2022/6/15,2977,12.22,4.6,14.76,134.13
2022/6/16,2990,12.26,4.56,14.91,135.03
2022/6/17,2928,12.29,4.51,15.06,134.31
2022/6/20,2924,12.32,4.47,15.21,133.27
2022/6/21,2928,12.36,4.42,15.36,135.28
2022/6/22,2964,12.39,4.38,15.5,135.22
2022/6/23,3006,12.43,4.33,15.65,136.5
2022/6/24,3201,12.46,4.28,15.8,136.2
2022/6/27,3198,12.5,4.24,15.95,135.23
2022/6/28,3242,12.53,4.19,16.1,134.67
2022/6/29,3254,12.57,4.15,16.25,135.42
2022/6/30,3227,12.6,4.1,16.4,136.09
2022/7/1,3246,12.58,4.15,16.46,136.69
2022/7/4,3264,12.55,4.2,16.51,136.01
2022/7/5,3239,12.53,4.25,16.57,134.93
2022/7/6,3328,12.51,4.3,16.63,136.15
2022/7/7,3429,12.49,4.35,16.68,135.71
2022/7/8,3355,12.46,4.4,16.74,135.89
2022/7/11,3413,12.44,4.45,16.8,136.07
2022/7/12,3374,12.42,4.5,16.85,136.48
2022/7/13,3353,12.4,4.55,16.91,137.25
2022/7/14,3342,12.37,4.6,16.96,137.02
2022/7/15,3347,12.35,4.65,17.02,138.01
2022/7/19,3332,12.33,4.7,17.08,138.99
2022/7/20,3379,12.31,4.75,17.13,138.24
2022/7/21,3421,12.28,4.8,17.19,138.18
2022/7/22,3411,12.26,4.85,17.25,138.48
2022/7/25,3415,12.24,4.9,17.3,137.36
2022/7/26,3416,12.22,4.95,17.36,136.64
2022/7/27,3446,12.19,5,17.42,136.46
2022/7/28,3442,12.17,5.05,17.47,137.01
2022/7/29,3421,12.15,5.1,17.53,136.24
2022/8/1,3641,12.13,5.15,17.59,134.63
2022/8/2,3663,12.1,5.2,17.64,132.91
2022/8/3,3606,12.08,5.25,17.7,130.9
2022/8/4,3578,12.06,5.3,17.75,133.77
2022/8/5,3632,12.04,5.35,17.81,133.67
2022/8/8,3620,12.01,5.4,17.87,133.03
2022/8/9,3613,11.99,5.45,17.92,135.43
2022/8/10,3615,11.97,5.5,17.98,134.92
2022/8/12,3632,11.95,5.55,18.04,135.28
2022/8/15,3667,11.92,5.6,18.09,133.34
2022/8/16,3691,11.9,5.65,18.15,133.07
2022/8/17,3733,11.88,5.7,18.21,133.2
2022/8/18,3754,11.85,5.75,18.26,134.34
2022/8/19,3751,11.83,5.8,18.32,134.97
2022/8/22,3690,11.81,5.85,18.38,136.33
2022/8/23,3663,11.79,5.9,18.43,137.23
2022/8/24,3639,11.76,5.95,18.49,137.3
2022/8/25,3658,11.74,6,18.55,136.92
2022/8/26,3707,11.72,6.05,18.6,136.99
2022/8/29,3679,11.7,6.1,18.66,136.76
2022/8/30,3781,11.67,6.15,18.71,138.29
2022/8/31,3776,11.65,6.2,18.77,138.48
2022/9/1,3766,11.63,6.25,18.83,138.66
2022/9/2,3736,11.61,6.3,18.88,139.55
2022/9/5,3728,11.58,6.35,18.94,140.11
2022/9/6,3715,11.56,6.4,19,140.32
2022/9/7,3716,11.54,6.45,19.05,140.34
2022/9/8,3822,11.52,6.5,19.11,143.03
2022/9/9,3889,11.49,6.55,19.17,144.43
2022/9/12,3898,11.47,6.6,19.22,143.82
2022/9/13,3929,11.45,6.65,19.28,142.84
2022/9/14,3893,11.43,6.7,19.34,142.61
2022/9/15,3916,11.4,6.75,19.39,144.53
2022/9/16,3890,11.38,6.8,19.45,143.33
2022/9/20,3889,11.36,6.85,19.5,143.1
2022/9/21,3848,11.34,6.9,19.56,143.28
